Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
4470	1	1	34	114	813	Sample	12.5	35.170518	6289.232587	6254.062069	1214628	378714	4470
4471	1	1	34	115	813	Sample	6.25	81.029876	6340.590796	6259.56092	1224534	378714	4471
4472	1	1	34	116	814	Sample	100	5944.45374	12344.662935	6400.209195	1235456	378714	4472
4473	1	1	34	117	814	Sample	50	1602.047066	8137.302239	6535.255172	1246124	378460	4473
4474	1	1	34	118	814	Sample	25	586.241002	6945.995025	6359.754023	1256792	378714	4474
4475	1	1	34	119	814	Sample	12.5	257.046071	6520.16791	6263.121839	1266698	378714	4475
4476	1	1	34	120	814	Sample	6.25	100.969506	6406.613184	6305.643678	1276604	378714	4476
4477	1	1	34	121	1139	PosCtrl	100	8286.241062	14815.526119	6529.285057	1287018	378714	4477
4478	1	1	34	122	815	Sample	100	222.644261	6635.492537	6412.848276	1297432	378714	4478
4479	1	1	34	123	815	Sample	50	-52.064874	6149.523632	6201.588506	1308608	378714	4479
4480	1	1	34	124	815	Sample	25	81.200343	5928.701493	5847.501149	1318768	378714	4480
4481	1	1	34	125	815	Sample	12.5	-43.061306	5962.419154	6005.48046	1328928	378714	4481
4482	1	1	34	126	815	Sample	6.25	3.776625	6073.252488	6069.475862	1338326	378714	4482
4483	1	1	34	127	816	Sample	100	1834.97563	7957.451493	6122.475862	1349502	377952	4483
4484	1	1	34	128	816	Sample	50	519.624455	6509.640547	5990.016092	1359916	377952	4484
4485	1	1	34	129	816	Sample	25	285.643387	6166.420398	5880.777011	1370584	378460	4485
4486	1	1	34	130	816	Sample	12.5	114.023117	6090.13806	5976.114943	1380744	378460	4486
4487	1	1	34	131	816	Sample	6.25	0.373666	5991.077114	5990.703448	1390142	378460	4487
4488	1	1	34	132	1140	PosCtrl	100	7958.037991	14035.364428	6077.326437	1401064	378206	4488
4489	1	1	35	1	817	Sample	100	6314.919652	13402.319652	7087.4	40386	390144	4489
4490	1	1	35	2	817	Sample	50	2122.593867	9211.085821	7088.491954	51308	390144	4490
4491	1	1	35	3	817	Sample	25	794.77274	7824.216418	7029.443678	61214	390652	4491
4492	1	1	35	4	817	Sample	12.5	262.511486	7333.424129	7070.912644	71120	390652	4492
4493	1	1	35	5	817	Sample	6.25	135.626179	7201.890547	7066.264368	81280	390652	4493
4494	1	1	35	6	818	Sample	100	4085.050823	11597.866915	7512.816092	92456	390398	4494
4495	1	1	35	7	818	Sample	50	1439.735289	8615.631841	7175.896552	103124	390144	4495
4496	1	1	35	8	818	Sample	25	1004.037622	7935.435323	6931.397701	113030	390652	4496
4497	1	1	35	9	818	Sample	12.5	191.110765	7593.050995	7401.94023	123190	390652	4497
4498	1	1	35	10	818	Sample	6.25	193.483196	7446.53607	7253.052874	133350	390652	4498
4499	1	1	35	11	1129	PosCtrl	50	7343.48299	14629.048507	7285.565517	144272	390652	4499
4500	1	1	35	12	819	Sample	100	57.675519	7190.298507	7132.622989	154432	390398	4500
4501	1	1	35	13	819	Sample	50	84.180168	7198.587065	7114.406897	165100	390398	4501
4502	1	1	35	14	819	Sample	25	-74.132802	7017.70398	7091.836782	175768	390398	4502
4503	1	1	35	15	819	Sample	12.5	-103.500069	6980.559701	7084.05977	186436	390398	4503
4504	1	1	35	16	819	Sample	6.25	-118.92901	6975.572139	7094.501149	196596	390398	4504
4505	1	1	35	17	820	Sample	100	2047.287828	9339.506219	7292.218391	206248	390398	4505
4506	1	1	35	18	820	Sample	50	753.99059	7926.436567	7172.445977	217424	390652	4506
4507	1	1	35	19	820	Sample	25	415.633736	7530.399254	7114.765517	227076	390398	4507
4508	1	1	35	20	820	Sample	12.5	84.961766	7272.106965	7187.145199	237490	390398	4508
4509	1	1	35	21	820	Sample	6.25	144.265354	7199.058458	7054.793103	246634	390398	4509
4510	1	1	35	22	1130	PosCtrl	50	6248.511469	13638.272388	7389.76092	258064	390652	4510
4511	1	1	35	23	821	Sample	100	5418.593061	13166.95398	7748.36092	269494	389890	4511
4512	1	1	35	24	821	Sample	50	1538.444467	9195.313433	7656.868966	280162	390144	4512
4513	1	1	35	25	821	Sample	25	626.000669	7961.584577	7335.583908	291084	389890	4513
4514	1	1	35	26	821	Sample	12.5	234.67304	7519.371891	7284.698851	302006	390398	4514
4515	1	1	35	27	821	Sample	6.25	48.325176	7498.513682	7450.188506	311404	390398	4515
4516	1	1	35	28	822	Sample	100	8520.509993	16225.55597	7705.045977	321056	389890	4516
4517	1	1	35	29	822	Sample	50	2925.399957	10613.95398	7688.554023	331978	390144	4517
4518	1	1	35	30	822	Sample	25	1267.818863	8832.506219	7564.687356	342138	390144	4518
4519	1	1	35	31	822	Sample	12.5	508.620192	7990.599502	7481.97931	351536	390398	4519
4520	1	1	35	32	822	Sample	6.25	102.475768	7494.83209	7392.356322	361950	390398	4520
4521	1	1	35	33	1131	PosCtrl	50	5500.500412	13288.808458	7788.308046	372872	390398	4521
4522	1	1	35	34	823	Sample	100	4965.851493	12691.784826	7725.933333	383794	389890	4522
4523	1	1	35	35	823	Sample	50	1691.329147	9190.641791	7499.312644	394462	389890	4523
4524	1	1	35	36	823	Sample	25	836.307763	8321.829602	7485.521839	404368	390398	4524
