Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
61	1	1	1	61	12	Sample	100	35222.456116	44008.012438	8785.556322	688594	38608	61
62	1	1	1	62	12	Sample	50	19973.404212	28447.252488	8473.848276	699008	38608	62
63	1	1	1	63	12	Sample	25	10750.464016	19015.889303	8265.425287	709676	38608	63
64	1	1	1	64	12	Sample	12.5	4725.417078	12648.058458	7922.641379	720090	38608	64
65	1	1	1	65	12	Sample	6.25	1901.656167	9865.467662	7963.811494	729742	38608	65
66	1	1	1	66	1062	PosCtrl	100	38204.241131	47352.466418	9148.225287	740410	38608	66
67	1	1	1	67	13	Sample	100	36874.635727	46207.66791	9333.032184	750824	38100	67
68	1	1	1	68	13	Sample	50	24092.592563	33001.220149	8908.627586	761238	38100	68
69	1	1	1	69	13	Sample	25	14100.486198	22651.424129	8550.937931	771906	38100	69
70	1	1	1	70	13	Sample	12.5	6310.964574	14492.320896	8181.356322	782066	38100	70
71	1	1	1	71	13	Sample	6.25	3271.279019	11443.920398	8172.641379	791972	38100	71
72	1	1	1	72	14	Sample	100	39341.867353	48334.736318	8992.868966	802894	38100	72
73	1	1	1	73	14	Sample	50	24491.304435	33370.725124	8879.42069	813308	38100	73
74	1	1	1	74	14	Sample	25	14345.464394	22961.227612	8615.763218	823722	38100	74
75	1	1	1	75	14	Sample	12.5	6530.62111	15052.050995	8521.429885	834136	38100	75
76	1	1	1	76	14	Sample	6.25	2854.561108	11180.335821	8325.774713	843788	38100	76
77	1	1	1	77	1063	PosCtrl	100	38786.271324	48181.864428	9395.593103	854710	37846	77
78	1	1	1	78	15	Sample	100	37238.841774	46659.156716	9420.314943	865378	38608	78
79	1	1	1	79	15	Sample	50	24353.880486	33276.560945	8922.68046	875792	38608	79
80	1	1	1	80	15	Sample	25	12717.096843	21320.579602	8603.482759	886206	38608	80
81	1	1	1	81	15	Sample	12.5	5564.984997	13907.302239	8342.317241	896620	38608	81
82	1	1	1	82	15	Sample	6.25	2368.819043	10653.099502	8284.28046	906526	38608	82
83	1	1	1	83	16	Sample	100	36262.001038	45266.180348	9004.17931	917194	38608	83
84	1	1	1	84	16	Sample	50	21761.306339	30652.568408	8891.262069	927862	38608	84
85	1	1	1	85	16	Sample	25	12101.097521	20499.24005	8398.142529	938276	38608	85
86	1	1	1	86	16	Sample	12.5	4764.199717	13053.496269	8289.296552	948690	38354	86
87	1	1	1	87	16	Sample	6.25	2326.378598	10719.03607	8392.657471	958342	38608	87
88	1	1	1	88	1064	PosCtrl	100	38345.379147	47805.558458	9460.17931	969010	38608	88
89	1	1	1	89	17	Sample	100	36906.883608	46376.177861	9469.294253	979678	38608	89
90	1	1	1	90	17	Sample	50	25836.31924	34891.677861	9055.358621	990092	38608	90
91	1	1	1	91	17	Sample	25	13875.532947	22539.252488	8663.71954	1000506	38608	91
92	1	1	1	92	17	Sample	12.5	6881.77853	15349.429104	8467.650575	1010920	38354	92
93	1	1	1	93	17	Sample	6.25	2905.569017	11387.621891	8482.052874	1020826	38608	93
94	1	1	1	94	18	Sample	100	40826.729653	50430.784826	9604.055172	1031494	38608	94
95	1	1	1	95	18	Sample	50	27683.185272	36957.063433	9273.878161	1042162	38608	95
96	1	1	1	96	18	Sample	25	17023.737279	25809.900498	8786.163218	1052576	38608	96
97	1	1	1	97	18	Sample	12.5	8026.259461	16667.268657	8641.009195	1062990	38608	97
98	1	1	1	98	18	Sample	6.25	3602.811297	12091.588308	8488.777011	1072896	38354	98
99	1	1	1	99	1065	PosCtrl	100	38458.216778	48158.069652	9699.852874	1083564	38354	99
100	1	1	1	100	19	Sample	100	35435.309882	45108.902985	9673.593103	1093978	38608	100
101	1	1	1	101	19	Sample	50	22339.987845	31531.15796	9191.170115	1104392	38608	101
102	1	1	1	102	19	Sample	25	11514.033591	20107.109453	8593.075862	1114806	38608	102
103	1	1	1	103	19	Sample	12.5	5292.674215	13870.099502	8577.425287	1125220	38354	103
104	1	1	1	104	19	Sample	6.25	2455.321736	10900.422886	8445.101149	1135126	38354	104
105	1	1	1	105	20	Sample	100	28927.059496	37886.572139	8959.512644	1145794	38608	105
106	1	1	1	106	20	Sample	50	12289.462841	21212.161692	8922.698851	1156462	38354	106
107	1	1	1	107	20	Sample	25	6941.292186	15365.048507	8423.756322	1166876	38354	107
108	1	1	1	108	20	Sample	12.5	2796.175142	10928.126866	8131.951724	1177290	38354	108
109	1	1	1	109	20	Sample	6.25	1111.474335	9239.161692	8127.687356	1186688	38100	109
110	1	1	1	110	1066	PosCtrl	100	38419.922817	47810.31592	9390.393103	1197864	38354	110
111	1	1	1	111	21	Sample	100	37585.449262	47114.391791	9528.942529	1208024	38354	111
112	1	1	1	112	21	Sample	50	28505.674627	37503.741294	8998.066667	1218438	38354	112
113	1	1	1	113	21	Sample	25	16424.554315	25203.579602	8779.025287	1229106	38354	113
114	1	1	1	114	21	Sample	12.5	8127.228118	16596.370647	8469.142529	1239520	38354	114
115	1	1	1	115	21	Sample	6.25	3467.646483	11765.476368	8297.829885	1249426	38354	115
116	1	1	1	116	22	Sample	100	39222.903191	48329.057214	9106.154023	1260094	38354	116
117	1	1	1	117	22	Sample	50	24472.994339	33474.925373	9001.931034	1270508	38354	117
118	1	1	1	118	22	Sample	25	15622.627269	24236.192786	8613.565517	1281176	38354	118
119	1	1	1	119	22	Sample	12.5	7485.865517	15697.166667	8211.301149	1291590	38354	119
120	1	1	1	120	22	Sample	6.25	3795.823392	12062.232587	8266.409195	1301496	38354	120
121	1	1	1	121	1067	PosCtrl	100	38882.174833	48071.395522	9189.22069	1312164	38354	121
122	1	1	1	122	23	Sample	100	31430.981592	40318.514925	8887.533333	1322578	38354	122
123	1	1	1	123	23	Sample	50	19601.547101	28260.439055	8658.891954	1332992	38354	123
124	1	1	1	124	23	Sample	25	9807.720098	18123.598259	8315.878161	1343406	38354	124
125	1	1	1	125	23	Sample	12.5	4544.646595	12437.129353	7892.482759	1354074	38354	125
126	1	1	1	126	23	Sample	6.25	2115.265715	10128.911692	8013.645977	1363726	38100	126
127	1	1	1	127	24	Sample	100	35924.965955	44804.202736	8879.236782	1374648	38354	127
128	1	1	1	128	24	Sample	50	21280.782982	29747.139303	8466.356322	1385062	38354	128
129	1	1	1	129	24	Sample	25	11926.099991	19841.757463	7915.657471	1395476	38354	129
130	1	1	1	130	24	Sample	12.5	5644.381592	13419.848259	7775.466667	1405890	38354	130
131	1	1	1	131	24	Sample	6.25	3021.209564	10820.595771	7799.386207	1415796	38100	131
132	1	1	1	132	1068	PosCtrl	100	38397.25549	46953.140547	8555.885057	1426464	38100	132
133	1	1	2	1	25	Sample	100	15379.039381	22069.655473	6690.616092	65024	49276	133
134	1	1	2	2	25	Sample	50	5473.605516	11738.118159	6264.512644	75692	49276	134
135	1	1	2	3	25	Sample	25	2543.918356	8657.863184	6113.944828	86106	49022	135
136	1	1	2	4	25	Sample	12.5	1150.943112	7598.825871	6447.882759	96520	49276	136
137	1	1	2	5	25	Sample	6.25	373.938909	7057.649254	6683.710345	106426	48768	137
138	1	1	2	6	26	Sample	100	15693.406794	22891.422886	7198.016092	117094	49022	138
139	1	1	2	7	26	Sample	50	5691.479714	12656.06592	6964.586207	127508	49022	139
140	1	1	2	8	26	Sample	25	2485.601098	9214.711443	6729.110345	137922	49276	140
141	1	1	2	9	26	Sample	12.5	1176.070364	7935.033582	6758.963218	148082	49022	141
142	1	1	2	10	26	Sample	6.25	449.803877	7446.293532	6996.489655	158242	48768	142
143	1	1	2	11	1057	PosCtrl	50	26839.253697	34630.283582	7791.029885	168656	49022	143
144	1	1	2	12	27	Sample	100	9611.878255	17136.834577	7524.956322	179578	49276	144
145	1	1	2	13	27	Sample	50	2824.450721	9944.956468	7120.505747	189992	49276	145
146	1	1	2	14	27	Sample	25	1279.367181	8528.385572	7249.018391	200152	49276	146
147	1	1	2	15	27	Sample	12.5	577.147744	7726.79602	7149.648276	210566	49276	147
148	1	1	2	16	27	Sample	6.25	288.003362	7528.40796	7240.404598	220726	49022	148
149	1	1	2	17	28	Sample	100	8082.165166	15906.889303	7824.724138	231394	49276	149
150	1	1	2	18	28	Sample	50	2647.17069	10130.083333	7482.912644	241808	49276	150
151	1	1	2	19	28	Sample	25	1251.467988	8758.350746	7506.882759	252222	49530	151
152	1	1	2	20	28	Sample	12.5	527.996886	7899.792289	7371.795402	262636	49784	152
