Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
61	1	1	1	61	12	Sample	100	4483.814222	17769.126866	13285.312644	684276	38354	61
62	1	1	1	62	12	Sample	50	1077.293352	14223.700249	13146.406897	694944	38354	62
63	1	1	1	63	12	Sample	25	259.957934	13349.930348	13089.972414	706120	38354	63
64	1	1	1	64	12	Sample	12.5	102.259436	13162.707711	13060.448276	716788	38354	64
65	1	1	1	65	12	Sample	6.25	14.542083	13015.721393	13001.17931	726440	38354	65
66	1	1	1	66	1062	PosCtrl	100	3437.388266	16624.208955	13186.82069	735838	38608	66
67	1	1	1	67	13	Sample	100	3661.541757	17259.838308	13598.296552	746252	38100	67
68	1	1	1	68	13	Sample	50	883.379731	14425.717662	13542.337931	757174	37592	68
69	1	1	1	69	13	Sample	25	304.114617	13440.116915	13136.002299	767842	38354	69
70	1	1	1	70	13	Sample	12.5	-39.72883	13045.498756	13085.227586	777748	38354	70
71	1	1	1	71	13	Sample	6.25	-65.318279	13152.486318	13217.804598	787654	38354	71
72	1	1	1	72	14	Sample	100	4026.079731	17516.217662	13490.137931	798322	38354	72
73	1	1	1	73	14	Sample	50	994.901381	14377.381841	13382.48046	808990	38100	73
74	1	1	1	74	14	Sample	25	248.826686	13520.366915	13271.54023	820420	38354	74
75	1	1	1	75	14	Sample	12.5	98.179834	13518.628109	13420.448276	830326	38354	75
76	1	1	1	76	14	Sample	6.25	-87.114754	13310.002488	13397.117241	840232	38354	76
77	1	1	1	77	1063	PosCtrl	100	2853.318477	16307.258706	13453.94023	850138	38354	77
78	1	1	1	78	15	Sample	100	4265.595737	17826.958955	13561.363218	860806	38100	78
79	1	1	1	79	15	Sample	50	1099.226668	14545.881841	13446.655172	871728	37846	79
80	1	1	1	80	15	Sample	25	318.231378	13529.868159	13211.636782	882650	38354	80
81	1	1	1	81	15	Sample	12.5	-28.323844	13279.068408	13307.392252	893064	38354	81
82	1	1	1	82	15	Sample	6.25	-13.329412	13200.707711	13214.037123	901700	38354	82
83	1	1	1	83	16	Sample	100	4474.627603	17885.151741	13410.524138	912622	38354	83
84	1	1	1	84	16	Sample	50	1228.782261	14640.766169	13411.983908	923544	37846	84
85	1	1	1	85	16	Sample	25	293.682784	13458.227612	13164.544828	934212	38354	85
86	1	1	1	86	16	Sample	12.5	112.919266	13247.572139	13134.652874	946150	38354	86
87	1	1	1	87	16	Sample	6.25	-98.613255	13143.595771	13242.209026	955802	38354	87
88	1	1	1	88	1064	PosCtrl	100	2818.205104	15989.143035	13170.937931	964692	38354	88
89	1	1	1	89	17	Sample	100	2811.445317	16210.491294	13399.045977	975106	38354	89
90	1	1	1	90	17	Sample	50	709.555232	14079.364428	13369.809195	985774	37846	90
91	1	1	1	91	17	Sample	25	230.193652	13516.522388	13286.328736	996696	38354	91
92	1	1	1	92	17	Sample	12.5	20.185941	13286.64801	13266.462069	1006856	38354	92
93	1	1	1	93	17	Sample	6.25	-95.384783	13219.261194	13314.645977	1017270	38354	93
94	1	1	1	94	18	Sample	100	2758.464213	16272.967662	13514.503448	1027176	38862	94
95	1	1	1	95	18	Sample	50	672.211503	14374.409204	13702.197701	1038352	38100	95
96	1	1	1	96	18	Sample	25	318.819506	13939.196517	13620.377011	1048512	38354	96
97	1	1	1	97	18	Sample	12.5	54.604297	13553.677861	13499.073563	1058672	38354	97
98	1	1	1	98	18	Sample	6.25	59.897161	13658.386816	13598.489655	1068832	38354	98
99	1	1	1	99	1065	PosCtrl	100	2576.369506	16530.279851	13953.910345	1078992	38608	99
100	1	1	1	100	19	Sample	100	2322.977183	16619.517413	14296.54023	1089152	38354	100
101	1	1	1	101	19	Sample	50	431.677235	14614.472637	14182.795402	1100582	38100	101
102	1	1	1	102	19	Sample	25	193.374335	14158.995025	13965.62069	1110488	38100	102
103	1	1	1	103	19	Sample	12.5	122.787699	14098.868159	13976.08046	1120648	38100	103
104	1	1	1	104	19	Sample	6.25	-1.18335	13957.598259	13958.781609	1130808	38100	104
105	1	1	1	105	20	Sample	100	2072.64837	16204.16791	14131.51954	1141222	38608	105
106	1	1	1	106	20	Sample	50	551.276608	14780.600746	14229.324138	1151890	38100	106
107	1	1	1	107	20	Sample	25	211.273546	14303.181592	14091.908046	1162812	38100	107
108	1	1	1	108	20	Sample	12.5	112.101925	14110.626866	13998.524941	1173226	38100	108
109	1	1	1	109	20	Sample	6.25	-5.417113	14111.971393	14117.388506	1182116	38100	109
110	1	1	1	110	1066	PosCtrl	100	2868.242906	17134.504975	14266.262069	1193038	38862	110
111	1	1	1	111	21	Sample	100	2623.975751	17055.180348	14431.204598	1203452	38354	111
112	1	1	1	112	21	Sample	50	853.73396	15288.871891	14435.137931	1214120	37846	112
113	1	1	1	113	21	Sample	25	378.573254	14796.435323	14417.862069	1224280	38100	113
114	1	1	1	114	21	Sample	12.5	221.334508	14439.394279	14218.05977	1234694	38100	114
115	1	1	1	115	21	Sample	6.25	63.008835	14284.4801	14221.471264	1244346	38100	115
116	1	1	1	116	22	Sample	100	3494.488609	18043.410448	14548.921839	1255522	38608	116
117	1	1	1	117	22	Sample	50	1003.87304	15519.705224	14515.832184	1266444	38354	117
118	1	1	1	118	22	Sample	25	338.47666	14646.389303	14307.912644	1277112	38100	118
119	1	1	1	119	22	Sample	12.5	287.540882	14599.432836	14311.891954	1287018	38100	119
120	1	1	1	120	22	Sample	6.25	45.511091	14254.600746	14209.089655	1297178	38100	120
121	1	1	1	121	1067	PosCtrl	100	3544.261306	17826.914179	14282.652874	1307338	38862	121
122	1	1	1	122	23	Sample	100	3018.763913	17617.478856	14598.714943	1317498	37592	122
123	1	1	1	123	23	Sample	50	976.708758	15386.630597	14409.921839	1328420	37338	123
124	1	1	1	124	23	Sample	25	447.979216	14505.498756	14057.51954	1338580	38100	124
125	1	1	1	125	23	Sample	12.5	281.545553	14210.588308	13929.042755	1349756	38100	125
126	1	1	1	126	23	Sample	6.25	139.363853	14224.947761	14085.583908	1358646	38100	126
127	1	1	1	127	24	Sample	100	5129.479396	19481.59204	14352.112644	1369314	38100	127
128	1	1	1	128	24	Sample	50	1633.076154	15811.579602	14178.503448	1380236	37846	128
129	1	1	1	129	24	Sample	25	603.360336	14653.840796	14050.48046	1391412	38100	129
130	1	1	1	130	24	Sample	12.5	407.143178	14391.325871	13984.182692	1401318	38100	130
131	1	1	1	131	24	Sample	6.25	224.192595	14260.457711	14036.265116	1410208	36830	131
132	1	1	1	132	1068	PosCtrl	100	5550.158929	19641.39801	14091.23908	1421384	38100	132
133	1	1	2	1	25	Sample	100	6646.933325	18317.257463	11670.324138	60452	48260	133
134	1	1	2	2	25	Sample	50	2418.239098	13839.485075	11421.245977	71120	48514	134
135	1	1	2	3	25	Sample	25	1197.168528	12316.96393	11119.795402	81280	48768	135
136	1	1	2	4	25	Sample	12.5	645.003876	11629.243781	10984.239905	92202	48768	136
137	1	1	2	5	25	Sample	6.25	263.921976	11142.547264	10878.625287	101092	48768	137
138	1	1	2	6	26	Sample	100	4112.255944	15342.828358	11230.572414	112522	48260	138
139	1	1	2	7	26	Sample	50	1422.809762	12570.340796	11147.531034	123190	48514	139
140	1	1	2	8	26	Sample	25	621.354486	11697.097015	11075.742529	133858	48768	140
141	1	1	2	9	26	Sample	12.5	263.295205	11365.754975	11102.45977	144018	48768	141
142	1	1	2	10	26	Sample	6.25	-58.853963	11058.697761	11117.551724	154432	48768	142
143	1	1	2	11	1057	PosCtrl	50	4007.501484	15477.958955	11470.457471	164338	48768	143
144	1	1	2	12	27	Sample	100	4175.035169	15609.069652	11434.034483	174752	48768	144
145	1	1	2	13	27	Sample	50	1245.05796	12607.991294	11362.933333	185674	48768	145
146	1	1	2	14	27	Sample	25	703.623452	11644.097015	10940.473563	196342	48768	146
147	1	1	2	15	27	Sample	12.5	258.650352	10800.360697	10541.710345	206502	48768	147
148	1	1	2	16	27	Sample	6.25	-49.739964	10516.35199	10566.091954	216916	48768	148
149	1	1	2	17	28	Sample	100	2673.595986	13593.159204	10919.563218	226568	49022	149
150	1	1	2	18	28	Sample	50	1029.551879	11750.032338	10720.48046	236982	48768	150
151	1	1	2	19	28	Sample	25	402.271333	11082.606965	10680.335632	247396	48768	151
152	1	1	2	20	28	Sample	12.5	-6.762704	10960.885572	10967.648276	258572	48768	152
153	1	1	2	21	28	Sample	6.25	55.415148	11227.987562	11172.572414	268478	48768	153
154	1	1	2	22	1058	PosCtrl	50	3557.919214	14971.116915	11413.197701	278638	49276	154
155	1	1	2	23	29	Sample	100	3305.950489	15010.741294	11704.790805	289052	48768	155
156	1	1	2	24	29	Sample	50	1652.575828	13295.529851	11642.954023	299720	48514	156
157	1	1	2	25	29	Sample	25	921.875425	12395.46393	11473.588506	310134	48514	157
158	1	1	2	26	29	Sample	12.5	359.206511	11809.919154	11450.712644	320802	48768	158
159	1	1	2	27	29	Sample	6.25	97.384594	11559.736318	11462.351724	330454	48768	159
160	1	1	2	28	30	Sample	100	5193.514248	16989.187811	11795.673563	341122	48768	160
161	1	1	2	29	30	Sample	50	1661.737905	13470.105721	11808.367816	351790	48768	161
162	1	1	2	30	30	Sample	25	674.739527	12349.778607	11675.03908	362458	48768	162
163	1	1	2	31	30	Sample	12.5	367.92845	11951.682836	11583.754386	373380	48768	163
164	1	1	2	32	30	Sample	6.25	198.297837	11741.340796	11543.042959	381508	48768	164
165	1	1	2	33	1059	PosCtrl	50	3192.475176	14894.597015	11702.121839	392938	49022	165
166	1	1	2	34	31	Sample	100	7633.380288	19891.982587	12258.602299	403606	48514	166
167	1	1	2	35	31	Sample	50	2381.413965	14517.517413	12136.103448	414020	48514	167
168	1	1	2	36	31	Sample	25	1032.283513	12900.343284	11868.05977	424688	48514	168
169	1	1	2	37	31	Sample	12.5	317.952702	11984.649254	11666.696552	435864	48768	169
170	1	1	2	38	31	Sample	6.25	64.329473	11712.858209	11648.528736	445770	48768	170
171	1	1	2	39	32	Sample	100	3969.854949	15899.360697	11929.505747	455422	48768	171
172	1	1	2	40	32	Sample	50	1455.288849	13237.534826	11782.245977	466090	48768	172
173	1	1	2	41	32	Sample	25	536.847109	12220.681592	11683.834483	477012	48768	173
174	1	1	2	42	32	Sample	12.5	202.348816	11768.279851	11565.931034	487172	48768	174
175	1	1	2	43	32	Sample	6.25	76.847675	11606.689055	11529.841379	497332	48768	175
176	1	1	2	44	1060	PosCtrl	50	2649.882433	14249.783582	11599.901149	507238	49022	176
177	1	1	2	45	33	Sample	100	4206.134603	16161.895522	11955.76092	517906	48768	177
178	1	1	2	46	33	Sample	50	1317.591954	13185.166667	11867.574713	528574	49022	178
179	1	1	2	47	33	Sample	25	527.398971	12348.895522	11821.496552	538988	48768	179
180	1	1	2	48	33	Sample	12.5	174.707986	11868.468905	11693.76092	550164	48768	180
181	1	1	2	49	33	Sample	6.25	-18.080022	11780.202736	11798.282759	560324	48768	181
182	1	1	2	50	34	Sample	100	2851.036945	14940.108209	12089.071264	569722	49022	182
183	1	1	2	51	34	Sample	50	971.100395	13221.99005	12250.889655	580390	48768	183
184	1	1	2	52	34	Sample	25	319.319352	12499.997512	12180.678161	591566	48768	184
185	1	1	2	53	34	Sample	12.5	-48.973263	11996.488806	12045.462069	601472	48768	185
186	1	1	2	54	34	Sample	6.25	-114.599014	11666.058458	11780.657471	611632	48768	186
187	1	1	2	55	1061	PosCtrl	50	1962.354435	13829.308458	11866.954023	621538	49276	187
188	1	1	2	56	35	Sample	100	4115.471788	16267.961443	12152.489655	632206	48768	188
189	1	1	2	57	35	Sample	50	1341.758586	13076.696517	11734.937931	642874	49022	189
190	1	1	2	58	35	Sample	25	675.87919	12291.437811	11615.558621	653288	48768	190
191	1	1	2	59	35	Sample	12.5	116.9801	11787.9801	11671	665226	48768	191
192	1	1	2	60	35	Sample	6.25	-134.483277	11619.125622	11753.608899	675132	48768	192
